pitch,roll,yaw,accelX,accelY,accelZ,latitude,longitude,altitude,GPS_fix
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-1984.6,-96.37,96.33,1455.92,1574.78,4073.91,0,0,0,0
-784.6,-124.37,-383.67,1588.92,-15.22,4144.91,0,0,0,0
-1170.6,158.63,-250.67,1467.92,-482.22,3919.91,0,0,0,0
-1610.6,13.63,-418.67,1500.92,-1759.22,3418.91,0,0,0,0
-4435.6,-342.37,-637.67,1295.92,-3967.22,3559.91,0,0,0,0
-3506.6,-750.37,-1775.67,3635.92,-4470.22,-1363.09,0.0,0.0,-1.7,0.0
-2552.6,-610.37,-1221.67,5147.92,-4264.22,-4693.09,0,0,0,0
-1969.6,-229.37,-935.67,5805.92,-3865.22,-6148.09,0,0,0,0
-1237.6,-480.37,-679.67,6107.92,-2799.22,-6548.09,0,0,0,0
-1579.6,-999.37,-467.67,5801.92,-2183.22,-8904.09,0.0,0.0,-1.7,0.0
-936.6,-386.37,-289.67,5482.92,-1543.22,-9899.09,0,0,0,0
-1843.6,-311.37,-267.67,5073.92,-885.22,-9699.09,0,0,0,0
-2017.6,-1264.37,82.33,4309.92,994.78,-10683.09,0,0,0,0
-894.6,-1211.37,-32.67,2600.92,1443.78,-12669.09,0,0,0,0
-1502.6,-505.37,162.33,1501.92,2334.78,-12583.09,0,0,0,0
-1198.6,-45.37,63.33,1361.92,3096.78,-12146.09,0,0,0,0
-1108.6,79.63,10.33,1501.92,3737.78,-11926.09,0,0,0,0
-887.6,4.63,-162.67,1638.92,4429.78,-12050.09,0,0,0,0
-1043.6,273.63,-254.67,1866.92,4637.78,-12503.09,0,0,0,0
-700.6,13.63,-168.67,2205.92,4974.78,-11731.09,0,0,0,0
-407.6,-115.37,-330.67,2257.92,5133.78,-11653.09,0,0,0,0
-473.6,-111.37,-335.67,2031.92,5203.78,-11844.09,0,0,0,0
-243.6,-147.37,-410.67,2004.92,5093.78,-12140.09,0,0,0,0
72.4,-71.37,-466.67,1937.92,4713.78,-12217.09,0,0,0,0
208.4,-97.37,-438.67,1988.92,3537.78,-12080.09,0,0,0,0
864.4,145.63,-629.67,1917.92,2710.78,-12189.09,0.0,0.0,-1.7,0.0
726.4,11.63,-574.67,2189.92,570.78,-11836.09,0,0,0,0
167.4,165.63,-355.67,2282.92,-637.22,-11666.09,0,0,0,0
396.4,227.63,-406.67,2723.92,-1363.22,-11102.09,0,0,0,0
724.4,496.63,-406.67,3138.92,-2467.22,-10125.09,0.0,0.0,-1.7,0.0
854.4,858.63,-488.67,3650.92,-3303.22,-8488.09,0,0,0,0
1115.4,768.63,-302.67,4164.92,-4248.22,-6681.09,0,0,0,0
2397.4,954.63,397.33,4067.92,-4742.22,-3304.09,0,0,0,0
1135.4,504.63,129.33,3039.92,-5014.22,20.91,0,0,0,0
1685.4,358.63,73.33,2827.92,-3569.22,1389.91,0,0,0,0
1568.4,178.63,48.33,1815.92,-931.22,3971.91,0,0,0,0
